item_id,domain,skill_id,competency,level,question_text,option_a,option_b,option_c,option_d,correct_answer,param_a,param_b,scaffold_step1,scaffold_step2
PROB_DR_096,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,NhanBiet,"Một hộp chứa $7$ viên bi đỏ, $2$ viên bi xanh và $2$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",7/11,6/11,7/13,8/11,A,0.91,-0.6,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_097,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,NhanBiet,"Một túi đựng $8$ bi đỏ, $3$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/14,4/14,3/16,2/14,A,1.04,-0.54,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_098,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,NhanBiet,"Một bình đựng $9$ bi đỏ, $4$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",14/17,12/17,13/17,13/19,C,0.81,-0.48,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_099,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,NhanBiet,"Một hộp chứa $10$ viên bi đỏ, $5$ viên bi xanh và $5$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",1/2,1/3,1/4,3/5,A,0.94,-0.42,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_100,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,NhanBiet,"Một túi đựng $3$ bi đỏ, $6$ bi xanh và $1$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",4/5,2/5,3/5,3/7,C,1.07,-0.36,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_101,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $4$ bi đỏ, $7$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",11/13,12/13,10/13,11/15,A,0.84,-0.4,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_102,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $5$ viên bi đỏ, $2$ viên bi xanh và $3$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",3/5,1/2,1/3,1/4,B,0.97,-0.36,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_103,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $6$ bi đỏ, $3$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/13,4/13,3/15,2/13,A,1.1,-0.32,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_104,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $7$ bi đỏ, $4$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",11/16,12/16,10/16,11/18,A,0.87,-0.28,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_105,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $8$ viên bi đỏ, $5$ viên bi xanh và $1$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",3/7,5/7,4/9,4/7,D,1.0,-0.24,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_106,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $9$ bi đỏ, $6$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",6/17,7/17,5/17,6/19,A,1.13,-0.2,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_107,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $10$ bi đỏ, $7$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",18/20,16/20,17/20,17/22,C,0.9,-0.16,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_108,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $3$ viên bi đỏ, $2$ viên bi xanh và $4$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",2/3,1/5,1/3,3/6,C,1.03,-0.12,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_109,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $4$ bi đỏ, $3$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/7,1/4,1/6,2/4,B,0.8,-0.08,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_110,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $5$ bi đỏ, $4$ bi xanh và $1$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",8/10,9/10,9/12,9/11,B,0.93,-0.04,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_111,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $6$ viên bi đỏ, $5$ viên bi xanh và $2$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",6/13,6/15,7/13,5/13,A,1.06,0.0,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_112,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $7$ bi đỏ, $6$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",2/8,4/8,3/10,3/8,D,0.83,0.04,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_113,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $8$ bi đỏ, $7$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",15/21,14/19,16/19,15/19,D,0.96,0.08,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_114,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $9$ viên bi đỏ, $2$ viên bi xanh và $5$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",8/16,10/16,9/18,9/16,D,1.09,0.12,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_115,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $10$ bi đỏ, $3$ bi xanh và $1$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",4/14,3/14,3/16,2/14,B,0.86,0.16,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_116,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $3$ bi đỏ, $4$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",8/9,7/11,6/9,7/9,D,0.99,0.2,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_117,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $4$ viên bi đỏ, $5$ viên bi xanh và $3$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",1/3,2/3,1/5,3/6,A,1.12,0.24,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_118,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $5$ bi đỏ, $6$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",2/5,1/5,3/5,2/7,A,0.89,0.28,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_119,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $6$ bi đỏ, $7$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",14/18,13/20,12/18,13/18,D,1.02,0.32,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_120,Xac suat co dien,SKILL_ADDITION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $7$ viên bi đỏ, $2$ viên bi xanh và $1$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",7/10,6/10,8/10,7/12,A,1.15,0.36,Phân tích xem các trường hợp xảy ra có xung khắc (rời nhau) hay không.,Tính xác suất từng trường hợp rồi áp dụng quy tắc cộng xác suất $P(A \cup B) = P(A) + P(B)$.
PROB_DR_121,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $8$ bi đỏ, $3$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",2/13,3/13,4/13,3/15,B,0.92,0.4,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_122,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $9$ bi đỏ, $4$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",12/16,13/16,14/16,13/18,B,1.05,0.44,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_123,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $10$ viên bi đỏ, $5$ viên bi xanh và $4$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",11/19,10/21,10/19,9/19,C,0.82,0.48,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_124,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $3$ bi đỏ, $6$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/7,2/7,3/9,4/7,A,0.95,0.52,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_125,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $4$ bi đỏ, $7$ bi xanh và $1$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",10/12,11/12,11/14,11/13,B,1.08,0.56,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_126,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $5$ viên bi đỏ, $2$ viên bi xanh và $2$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",6/9,4/9,5/9,5/11,C,0.85,-0.4,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_127,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $6$ bi đỏ, $3$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",1/6,2/4,1/4,3/7,C,0.98,-0.36,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_128,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $7$ bi đỏ, $4$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",10/15,11/17,12/15,11/15,D,1.11,-0.32,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_129,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $8$ viên bi đỏ, $5$ viên bi xanh và $5$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",5/9,4/9,3/9,4/11,B,0.88,-0.28,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_130,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $9$ bi đỏ, $6$ bi xanh và $1$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",2/8,4/8,3/10,3/8,D,1.01,-0.24,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_131,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $10$ bi đỏ, $7$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",18/19,17/19,16/19,17/21,B,1.14,-0.2,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_132,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $3$ viên bi đỏ, $2$ viên bi xanh và $3$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",3/8,3/10,2/8,4/8,A,0.91,-0.16,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_133,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $4$ bi đỏ, $3$ bi xanh và $4$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/11,2/11,3/13,4/11,A,1.04,-0.12,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_134,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $5$ bi đỏ, $4$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",9/16,8/14,9/14,10/14,C,0.81,-0.08,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_135,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $6$ viên bi đỏ, $5$ viên bi xanh và $1$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",3/5,1/2,1/4,1/3,B,0.94,-0.04,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_136,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $7$ bi đỏ, $6$ bi xanh và $2$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",1/5,2/7,2/5,3/5,C,1.07,0.0,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_137,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một bình đựng $8$ bi đỏ, $7$ bi xanh và $3$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi không phải màu vàng.",5/8,5/7,4/6,5/6,D,0.84,0.04,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_138,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một hộp chứa $9$ viên bi đỏ, $2$ viên bi xanh và $4$ viên bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi đỏ.",2/5,4/5,3/7,3/5,D,0.97,0.08,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_139,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Một túi đựng $10$ bi đỏ, $3$ bi xanh và $5$ bi vàng. Lấy ngẫu nhiên $1$ viên bi. Tính xác suất lấy được bi xanh.",3/9,2/6,1/8,1/6,D,1.1,0.12,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_140,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố xung khắc $A$ và $B$. Biết $P(A) = 0.2$ và $P(B) = 0.15$. Tính xác suất $P(A \cup B)$.,0.175,0.45,0.35,0.25,C,0.87,0.16,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_141,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố độc lập $A$ và $B$. Biết $P(A) = 0.3$ và $P(B) = 0.25$. Tính xác suất $P(A \cap B)$.,0.01,0.0375,0.175,0.075,D,1.0,0.2,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_142,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Cho hai biến cố $A, B$ có $P(A) = 0.4$, $P(B) = 0.35$ và $P(A \cap B) = 0.07$. Tính $P(A \cup B)$.",0.58,0.34,0.68,0.78,C,1.13,0.24,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_143,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho biến cố $A$ có xác suất $P(A) = 0.5$. Tính xác suất của biến cố đối $\overline{A}$.,0.6,0.25,0.5,0.4,C,0.9,0.28,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_144,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố xung khắc $A$ và $B$. Biết $P(A) = 0.6$ và $P(B) = 0.55$. Tính xác suất $P(A \cup B)$.,1.25,1.05,1.15,0.575,C,1.03,0.32,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_145,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố độc lập $A$ và $B$. Biết $P(A) = 0.7$ và $P(B) = 0.65$. Tính xác suất $P(A \cap B)$.,0.2275,0.355,0.455,0.555,C,0.8,0.36,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_146,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Cho hai biến cố $A, B$ có $P(A) = 0.8$, $P(B) = 0.05$ và $P(A \cap B) = 0.02$. Tính $P(A \cup B)$.",0.415,0.93,0.83,0.73,C,0.93,0.4,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_147,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho biến cố $A$ có xác suất $P(A) = 0.1$. Tính xác suất của biến cố đối $\overline{A}$.,1.0,0.45,0.9,0.8,C,1.06,0.44,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_148,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố xung khắc $A$ và $B$. Biết $P(A) = 0.2$ và $P(B) = 0.25$. Tính xác suất $P(A \cup B)$.,0.55,0.45,0.35,0.225,B,0.83,0.48,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_149,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,Cho hai biến cố độc lập $A$ và $B$. Biết $P(A) = 0.3$ và $P(B) = 0.35$. Tính xác suất $P(A \cap B)$.,0.105,0.205,0.01,0.0525,A,0.96,0.52,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
PROB_DR_150,Quy tac dem va Xac suat,SKILL_MULTIPLICATION_RULE,KienThuc_KyNang,ThongHieu,"Cho hai biến cố $A, B$ có $P(A) = 0.4$, $P(B) = 0.45$ và $P(A \cap B) = 0.09$. Tính $P(A \cup B)$.",0.66,0.38,0.76,0.86,C,1.09,0.56,Xác định các giai đoạn liên tiếp hoặc các phép thử thành phần độc lập trong bài toán.,Áp dụng quy tắc nhân xác suất $P(A \cap B) = P(A) \cdot P(B)$.
